Quote,Book,Word Count,Topic 1,Purpose,Topic_1_clean,Purpose_clean,word_count,char_count,norm_word_count,norm_char_count,is_short,is_medium,is_long,book
"all i do is keep on running in my own cozy, homemade void, my own nostalgic silence. and this is a pretty wonderful thing. no matter what anybody else says.",What I Talk About When I Talk About Running,30,"solitude, introspection, personal journey","contentment, defiance, individuality","['solitude', 'introspection', 'personal journey']","['contentment', 'defiance', 'individuality']",30,156,0.1,0.078,1,0,0,What I Talk About When I Talk About Running
"so that s how we live our lives. no matter how deep and fatal the loss, no matter how important the thing thats stolen from us - thats snatched right out of our hands - even if we are left completely changed, with only the outer layer of skin from before, we continue to play out our lives this way, in silence. we draw ever nearer to the end of our allotted span of time, bidding it farewell as it trails off behind. repeating, often adroitly, the endless deeds of the everyday. leaving behind a feeling of insurmountable emptiness... maybe, in some distant place, everything is already, quietly, lost. or at least there exists a silent place where everything can disappear, melting together in a single, overlapping figure. and as we live our lives we discover - drawing toward us the thin threads attached to each - what has been lost. i closed my eyes and tried to bring to mind as many beautiful lost things as i could. drawing them closer, holding on to them. knowing all the while that their lives are fleeting.",Sputnik Sweetheart,184,"loss, transformation, resilience","acceptance, perseverance, introspection","['loss', 'transformation', 'resilience']","['acceptance', 'perseverance', 'introspection']",185,1018,0.6166666666666667,0.509,0,1,0,Sputnik Sweetheart
"if they invent a car that runs on stupid jokes, you could go far.",Sputnik Sweetheart,14,"humor, innovation, potential","amusement, optimism, encouragement","['humor', 'innovation', 'potential']","['amusement', 'optimism', 'encouragement']",14,65,0.04666666666666667,0.0325,1,0,0,Sputnik Sweetheart
"we knew exactly what we wanted in each other. and even so, it ended. one day it stopped, as if the film simply slipped off the reel.",Dance Dance Dance,28,"love, loss, impermanence","melancholy, acceptance, reflection","['love', 'loss', 'impermanence']","['melancholy', 'acceptance', 'reflection']",27,132,0.09,0.066,1,0,0,Dance Dance Dance
"have you heard of the illness hysteria siberiana ? try to imagine this youre a farmer, living all alone on the siberian tundra. day after day you plow your fields. as far as the eye can see, nothing. to the north, the horizon, to the east, the horizon, to the south, to the west, more of the same. every morning, when the sun rises in the east, you go out to work in your fields. when its directly overhead, you take a break for lunch. when it sinks in the west, you go home to sleep. and then one day, something inside you dies. day after day you watch the sun rise in the east, pass across the sky, then sink in the west, and something breaks inside you and dies. you toss your plow aside and, your head completely empty of thought, begin walking toward the west. heading toward a land that lies west of the sun. like someone, possessed, you walk on, day after day, not eating or drinking, until you collapse on the ground and die. thats hysteria siberiana .","South of the Border, West of the Sun",183,"isolation, vastness, emptiness","melancholy, contemplation, solitude","['isolation', 'vastness', 'emptiness']","['melancholy', 'contemplation', 'solitude']",183,960,0.61,0.48,0,1,0,"South of the Border, West of the Sun"
the light of morning decomposes everything.,A Wild Sheep Chase,6,"light, decomposition, morning","melancholy, reflection, transformation","['light', 'decomposition', 'morning']","['melancholy', 'reflection', 'transformation']",6,43,0.02,0.0215,1,0,0,A Wild Sheep Chase
"the point is, not to resist the flow. you go up when youre supposed to go up and down when youre supposed to go down. when youre supposed to go up, find the highest tower and climb to the top. when youre supposed to go down, find the deepest well and go down to the bottom. when theres no flow, stay still. if you resist the flow, everything dries up. if everything dries up, the world is darkness.",The Wind-Up Bird Chronicle,78,"fluidity, journey, destiny","acceptance, resilience, guidance","['fluidity', 'journey', 'destiny']","['acceptance', 'resilience', 'guidance']",78,398,0.26,0.199,1,0,0,The Wind-Up Bird Chronicle
nothing in the real world is as beautiful as the illusions of a person about to lose consciousness.,What I Talk About When I Talk About Running,18,"illusion, consciousness, beauty","contemplation, introspection, awe","['illusion', 'consciousness', 'beauty']","['contemplation', 'introspection', 'awe']",18,99,0.06,0.0495,1,0,0,What I Talk About When I Talk About Running
"most people are not looking for provable truths. as you said, truth is often accompanied by intense pain, and almost no one is looking for painful truths. what people need is beautiful, comforting stories that make them feel as if their lives have some meaning. which is where religion comes from.",1Q84 Book 1,51,"truth, religion, meaning","comfort, pain, search","['truth', 'religion', 'meaning']","['comfort', 'pain', 'search']",51,297,0.17,0.1485,1,0,0,1Q84 Book 1
such wounds to the heart will probably never heal. but we cannot simply sit and stare at our wounds forever.,1Q84,20,"heartache, healing, perseverance","resilience, acceptance, encouragement","['heartache', 'healing', 'perseverance']","['resilience', 'acceptance', 'encouragement']",20,108,0.06666666666666667,0.054,1,0,0,1Q84
"if you really want to know something, you have to be willing to pay the price.",After Dark,16,"knowledge, sacrifice, curiosity","determination, wisdom, empowerment","['knowledge', 'sacrifice', 'curiosity']","['determination', 'wisdom', 'empowerment']",16,78,0.05333333333333334,0.039,1,0,0,After Dark
"life is a lot more fragile than we think. so you should treat others in a way that leaves no regrets. fairly, and if possible, sincerely.",Dance Dance Dance,26,"fragility, human connection","regret, sincerity","['fragility', 'human connection']","['regret', 'sincerity']",26,137,0.08666666666666667,0.0685,1,0,0,Dance Dance Dance
"when you fall in love, the natural thing to do is give yourself to it. thats what i think. its just a form of sincerity.",Norwegian Wood,25,"love, sincerity","vulnerability, authenticity","['love', 'sincerity']","['vulnerability', 'authenticity']",25,120,0.08333333333333333,0.06,1,0,0,Norwegian Wood
"ive been lonely for so long. and ive been hurt so deeply. if only i could have met you again a long time ago, then i wouldnt have had to take all these detours to get here. tengo shook his head. i dont think so. this way is just fine. this is exactly the right time. for both of us. ... we needed that much time.... to understand how lonely we really were.",1Q84,73,"loneliness, timing, detours","longing, acceptance, connection, hope","['loneliness', 'timing', 'detours']","['longing', 'acceptance', 'connection', 'hope']",73,356,0.24333333333333335,0.178,1,0,0,1Q84
a person learns how to love himself through the simple acts of loving and being loved by someone else.,1Q84,19,"love, self-discovery","growth, connection","['love', 'self-discovery']","['growth', 'connection']",19,102,0.06333333333333334,0.051,1,0,0,1Q84
but there are certain meanings that are lost forever the moment they are explained in words.,1Q84,16,"meaning, loss, explanation","realization, acceptance, introspection","['meaning', 'loss', 'explanation']","['realization', 'acceptance', 'introspection']",16,92,0.05333333333333334,0.046,1,0,0,1Q84
"no mistake about it. ice is cold; roses are red; im in love. and this love is about to carry me off somewhere. the currents too overpowering; i dont have any choice. it may very well be a special place, some place ive never seen before. danger may be lurking there, something that may end up wounding me deeply, fatally. i might end up losing everything. but theres no turning back. i can only go with the flow. even if it means ill be burned up, gone forever.",,88,"love, uncertainty, danger","anticipation, surrender","['love', 'uncertainty', 'danger']","['anticipation', 'surrender']",88,460,0.29333333333333333,0.23,0,1,0,
"the sad truth is that certain types of things cant go backward. once they start going forward, no matter what you do, they cant go back the way they were. if even one little thing goes awry, then thats how it will stay forever.","South of the Border, West of the Sun",44,"Time, irreversible, change","Regret, acceptance, inevitability","['time', 'irreversible', 'change']","['regret', 'acceptance', 'inevitability']",44,227,0.14666666666666667,0.1135,1,0,0,"South of the Border, West of the Sun"
"thats why i like listening to schubert while im driving. like i said, its because all his performances are imperfect. a dense, artistic kind of imperfection stimulates your consciousness, keeps you alert. if i listen to some utterly perfect performance of an utterly perfect piece while im driving, i might want to close my eyes and die right then and there. but listening to the d major, i can feel the limits of what humans are capable of - that a certain type of perfection can only be realized through a limitless accumulation of the imperfect. and personally i find that encouraging.",Kafka on the Shore,102,"imperfection, consciousness, alertness","stimulation, artistic, awareness, perfectionism","['imperfection', 'consciousness', 'alertness']","['stimulation', 'artistic', 'awareness', 'perfectionism']",102,588,0.34,0.294,0,1,0,Kafka on the Shore
"still, being able to feel pain was good, he thought. its when you cant even feel pain anymore that youre in real trouble.",Colorless Tsukuru Tazaki and His Years of Pilgrimage,23,"pain, trouble, feeling","realization, vulnerability, introspection","['pain', 'trouble', 'feeling']","['realization', 'vulnerability', 'introspection']",23,121,0.07666666666666666,0.0605,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
its easy to forget things you dont need anymore.,Kafka on the Shore,9,"memory, forgetting, detachment","detachment, acceptance, liberation","['memory', 'forgetting', 'detachment']","['detachment', 'acceptance', 'liberation']",9,48,0.03,0.024,1,0,0,Kafka on the Shore
"no matter how much time passes, no matter what takes place in the interim, there are some things we can never assign to oblivion, memories we can never rub away.",Kafka on the Shore,30,"memory, time, permanence","nostalgia, reflection, emotional depth","['memory', 'time', 'permanence']","['nostalgia', 'reflection', 'emotional depth']",30,161,0.1,0.0805,1,0,0,Kafka on the Shore
"hatred is like a long, dark shadow. not even the person it falls upon knows where it comes from, in most cases. it is like a two-edged sword. when you cut the other person, you cut yourself. the more violently you hack at the other person, the more violently you hack at yourself. it can often be fatal. but it is not easy to dispose of. please be careful, mr.okada. it is very dangerous. once it has taken root in your heart, hatred is the most difficult think in the world to shake off.",The Wind-Up Bird Chronicle,94,"Hatred, self-destruction, violence","Reflection, interconnectedness, warning","['hatred', 'self-destruction', 'violence']","['reflection', 'interconnectedness', 'warning']",94,488,0.31333333333333335,0.244,0,1,0,The Wind-Up Bird Chronicle
"id be smiling and chatting away, and my mind would be floating around somewhere else, like a balloon with a broken string.",The Wind-Up Bird Chronicle,22,"detachment, distraction, disconnection","escapism, detachment, introspection","['detachment', 'distraction', 'disconnection']","['escapism', 'detachment', 'introspection']",22,122,0.07333333333333333,0.061,1,0,0,The Wind-Up Bird Chronicle
"if i have left a wound inside you, it is not just your wound but mine as well.",Norwegian Wood,18,"love, shared pain","empathy, connection","['love', 'shared pain']","['empathy', 'connection']",18,78,0.06,0.039,1,0,0,Norwegian Wood
"your heart is like a great river after a long spell of rain, spilling over its banks. all signposts that once stood on the ground are gone, inundated and carried away by that rush of water. and still the rain beats down on the surface of the river. every time you see a flood like that on the news you tell yourself that s it. that s my heart.",Kafka on the Shore,67,"river, flood, rain","turmoil, loss, resilience, renewal","['river', 'flood', 'rain']","['turmoil', 'loss', 'resilience', 'renewal']",69,343,0.23,0.1715,1,0,0,Kafka on the Shore
"i wasnt in love with her. and she didnt love me. for me the question of love was irrelevant. what i sought was the sense of being tossed about by some raging, savage force, in the midst of which lay something absolutely crucial. i had no idea what that was. but i wanted to thrust my hand right inside her body and touch it, whatever it was.","South of the Border, West of the Sun",67,"desire, uncertainty, exploration","intensity, yearning, curiosity, mystery","['desire', 'uncertainty', 'exploration']","['intensity', 'yearning', 'curiosity', 'mystery']",67,341,0.22333333333333333,0.1705,1,0,0,"South of the Border, West of the Sun"
somewhere in his body--perhaps in the marrow of his bones--he would continue to feel her absence.,"Blind Willow, Sleeping Woman: 24 Stories",16,"absence, lingering, connection","melancholy, longing, emotional depth","['absence', 'lingering', 'connection']","['melancholy', 'longing', 'emotional depth']",16,97,0.05333333333333334,0.0485,1,0,0,"Blind Willow, Sleeping Woman: 24 Stories"
"everyone, deep in their hearts, is waiting for the end of the world to come.",1Q84,15,"existential, anticipation, human nature","foreboding, introspection, universal","['existential', 'anticipation', 'human nature']","['foreboding', 'introspection', 'universal']",15,76,0.05,0.038,1,0,0,1Q84
"in the world we live in, what we know and what we dont know are like siamese twins, inseparable, existing in a state of confusion.",Sputnik Sweetheart,25,"knowledge, confusion","uncertainty, interconnectedness","['knowledge', 'confusion']","['uncertainty', 'interconnectedness']",25,130,0.08333333333333333,0.065,1,0,0,Sputnik Sweetheart
"no matter how honestly you open up to someone, there are still things you cannot reveal.",Colorless Tsukuru Tazaki and His Years of Pilgrimage,16,"secrecy, vulnerability, hidden truths","introspection, vulnerability, emotional depth","['secrecy', 'vulnerability', 'hidden truths']","['introspection', 'vulnerability', 'emotional depth']",16,88,0.05333333333333334,0.044,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
"i began to draw an invisible boundary between myself and other people. no matter who i was dealing with. i maintained a set distance, carefully monitoring the person s attitude so that they wouldn t get any closer. i didn t easily swallow what other people told me. my only passions were books and music",Sputnik Sweetheart,52,"boundary, distance, monitoring","detachment, skepticism, introspection, passion","['boundary', 'distance', 'monitoring']","['detachment', 'skepticism', 'introspection', 'passion']",55,303,0.18333333333333332,0.1515,1,0,0,Sputnik Sweetheart
"to know one s own state is not a simple matter. one cannot look directly at one s own face with one s own eyes, for example. one has no choice but to look at one s reflection in the mirror. through experience, we come to believe that the image is correct, but that is all.",The Wind-Up Bird Chronicle,52,"self-perception, reflection","introspection, uncertainty","['self-perception', 'reflection']","['introspection', 'uncertainty']",56,272,0.18666666666666668,0.136,1,0,0,The Wind-Up Bird Chronicle
im a coward when it comes to matters of the heart. that is my fatal flaw.,1Q84,16,"cowardice, heart, fatal flaw","vulnerability, regret, introspection","['cowardice', 'heart', 'fatal flaw']","['vulnerability', 'regret', 'introspection']",16,73,0.05333333333333334,0.0365,1,0,0,1Q84
"as if to build a fence around the fatal emptiness inside her, she had to create a sunny person that she became. but if you peeled away the ornamental egos that she had built, there was only an abbys of nothingness and the intense thirst that came with it. though she tried to forget it, the nothingness would visit her periodically - on a lonely rainy afternoon, or at dawn when she woke up from a nightmare. what she needed at such times was to be held by someone, anyone.",1Q84,90,"emptiness, facade, thirst","realization, vulnerability, introspection","['emptiness', 'facade', 'thirst']","['realization', 'vulnerability', 'introspection']",90,473,0.3,0.2365,0,1,0,1Q84
"i m free, i think. i shut my eyes and think hard and deep about how free i am, but i can t really understand what it means. all i know is i m totally alone. all alone in an unfamiliar place, like some solitary explorer who s lost his compass and his map. is this what it means to be free? i don t know, and i give up thinking about it.",Kafka on the Shore,68,"loneliness, freedom, exploration","uncertainty, introspection, existentialism","['loneliness', 'freedom', 'exploration']","['uncertainty', 'introspection', 'existentialism']",73,335,0.24333333333333335,0.1675,1,0,0,Kafka on the Shore
"if i stayed here, something inside me would be lost forever","South of the Border, West of the Sun",11,"loss, identity, self-discovery","longing, regret, introspection, transformation","['loss', 'identity', 'self-discovery']","['longing', 'regret', 'introspection', 'transformation']",11,59,0.03666666666666667,0.0295,1,0,0,"South of the Border, West of the Sun"
"people die all the time. life is a lot more fragile than we think. so you should treat others in a way that leaves no regrets. fairly, and if possible, sincerely. its too easy not to make the effort, then weep and wring your hands after the person dies.",Dance Dance Dance,49,"mortality, regret, human connection","reflection, empathy, responsibility, awareness","['mortality', 'regret', 'human connection']","['reflection', 'empathy', 'responsibility', 'awareness']",49,253,0.16333333333333333,0.1265,1,0,0,Dance Dance Dance
"for me, running is both exercise and a metaphor. running day after day, piling up the races, bit by bit i raise the bar, and by clearing each level i elevate myself. at least that s why i ve put in the effort day after day to raise my own level. i m no great runner, by any means. i m at an ordinary - or perhaps more like mediocre - level. but that s not the point. the point is whether or not i improved over yesterday. in long-distance running the only opponent you have to beat is yourself, the way you used to be.",What I Talk About When I Talk About Running,101,"self-improvement, perseverance","motivation, determination","['self-improvement', 'perseverance']","['motivation', 'determination']",106,518,0.35333333333333333,0.259,0,1,0,What I Talk About When I Talk About Running
"ill never see them again. i know that. and they know that. and knowing this, we say farewell.",Kafka on the Shore,18,"farewell, separation, acceptance","melancholy, closure, resignation","['farewell', 'separation', 'acceptance']","['melancholy', 'closure', 'resignation']",18,93,0.06,0.0465,1,0,0,Kafka on the Shore
life doesnt require ideals. it requires standards of action.,Norwegian Wood,9,"ideals, standards, action","reflection, motivation","['ideals', 'standards', 'action']","['reflection', 'motivation']",9,60,0.03,0.03,1,0,0,Norwegian Wood
maybe its just hiding somewhere. or gone on a trip to come home. but falling in love is always a pretty crazy thing. it might appear out of the blue and just grab you. who knows,Sputnik Sweetheart,36,"love, unpredictability, journey","wonder, uncertainty, serendipity, possibility","['love', 'unpredictability', 'journey']","['wonder', 'uncertainty', 'serendipity', 'possibility']",36,177,0.12,0.0885,1,0,0,Sputnik Sweetheart
"with each passing moment im becoming part of the past. there is no future for me, just the past steadily accumulating.","Blind Willow, Sleeping Woman",21,"time, past, future","melancholy, reflection","['time', 'past', 'future']","['melancholy', 'reflection']",21,118,0.07,0.059,1,0,0,"Blind Willow, Sleeping Woman"
"holding this soft, small living creature in my lap this way, though, and seeing how it slept with complete trust in me, i felt a warm rush in my chest. i put my hand on the cats chest and felt his heart beating. the pulse was faint and fast, but his heart, like mine, was ticking off the time allotted to his small body with all the restless earnestness of my own.",The Wind-Up Bird Chronicle,72,"Trust, Connection, Time","Warmth, Intimacy, Reflection","['trust', 'connection', 'time']","['warmth', 'intimacy', 'reflection']",72,364,0.24,0.182,1,0,0,The Wind-Up Bird Chronicle
"a strange, terrific force unlike anything ive ever experienced is sprouting in my heart, taking root there, growing. shut up behind my rib cage, my warm heart expands and contracts independent of my will--over and over.",Kafka on the Shore,36,"growth, heart, force","wonder, awe, introspection, transformation","['growth', 'heart', 'force']","['wonder', 'awe', 'introspection', 'transformation']",36,219,0.12,0.1095,1,0,0,Kafka on the Shore
when you are used to the kind of life -of never getting anything you want- you stop knowing what it is you want.,The Wind-Up Bird Chronicle,23,"desire, uncertainty","resignation, disillusionment","['desire', 'uncertainty']","['resignation', 'disillusionment']",23,112,0.07666666666666666,0.056,1,0,0,The Wind-Up Bird Chronicle
"if youre young and talented, its like you have wings.",What I Talk About When I Talk About Running,10,"talent, youth, potential","freedom, empowerment","['talent', 'youth', 'potential']","['freedom', 'empowerment']",10,53,0.03333333333333333,0.0265,1,0,0,What I Talk About When I Talk About Running
"music brings a warm glow to my vision, thawing mind and muscle from their endless wintering.",Hard-Boiled Wonderland and the End of the World,16,"music, warmth, wintering","glow, thawing, endless, emotional","['music', 'warmth', 'wintering']","['glow', 'thawing', 'endless', 'emotional']",16,92,0.05333333333333334,0.046,1,0,0,Hard-Boiled Wonderland and the End of the World
"unclose your mind. you are not a prisoner. you are a bird in fight, searching the skies for dreams.",Hard-Boiled Wonderland and the End of the World,19,"freedom, exploration, dreams","empowerment, inspiration, hope","['freedom', 'exploration', 'dreams']","['empowerment', 'inspiration', 'hope']",19,99,0.06333333333333334,0.0495,1,0,0,Hard-Boiled Wonderland and the End of the World
"knowledge and ability were tools, not things to show off.",1Q84,10,"knowledge, ability, tools","humility, modesty","['knowledge', 'ability', 'tools']","['humility', 'modesty']",10,57,0.03333333333333333,0.0285,1,0,0,1Q84
when im running i dont have to talk to anybody and dont have to listen to anybody. this is a part of my day i cant do without.,What I Talk About When I Talk About Running,28,"solitude, independence, escape","freedom, necessity, empowerment","['solitude', 'independence', 'escape']","['freedom', 'necessity', 'empowerment']",28,126,0.09333333333333334,0.063,1,0,0,What I Talk About When I Talk About Running
"death was not the opposite of life. it was already here, within my being, it had always been here, and no struggle would permit me to forget that.",Norwegian Wood,28,"death, existence, struggle","introspection, acceptance, realization","['death', 'existence', 'struggle']","['introspection', 'acceptance', 'realization']",28,146,0.09333333333333334,0.073,1,0,0,Norwegian Wood
"as long as theres such a thing as time, everybodys damaged in the end, changed into something else. it always happens, sooner or later.",Kafka on the Shore,24,"time, change, transformation","inevitability, reflection, acceptance","['time', 'change', 'transformation']","['inevitability', 'reflection', 'acceptance']",24,135,0.08,0.0675,1,0,0,Kafka on the Shore
"when people tell a lie about something, they have to make up a bunch of lies to go with the first one. mythomania is the word for it.",Norwegian Wood,28,"lies, deception, mythomania","truth, unraveling, introspection, revelation","['lies', 'deception', 'mythomania']","['truth', 'unraveling', 'introspection', 'revelation']",28,133,0.09333333333333334,0.0665,1,0,0,Norwegian Wood
im often asked what i think about as i run. usually the people who ask this have never run long distances themselves. i always ponder the question. what exactly do i think about when im running? i dont have a clue.,What I Talk About When I Talk About Running,41,"introspection, mental clarity","curiosity, self-discovery","['introspection', 'mental clarity']","['curiosity', 'self-discovery']",41,214,0.13666666666666666,0.107,1,0,0,What I Talk About When I Talk About Running
"wasnt it better if they kept this desire to see each other hidden within them, and never actually got together? that way, there would always be hope in their hearts. that hope would be a small, yet vital flame that warmed them to their core-- a tiny flame to cup ones hands around and protect from the wind, a flame that the violent winds of reality might easily extinguish.",1Q84,69,"desire, hope, hidden","longing, warmth, protection","['desire', 'hope', 'hidden']","['longing', 'warmth', 'protection']",69,374,0.23,0.187,1,0,0,1Q84
"we each have a special something we can get only at a special time of our life. like a small flame. a careful, fortunate few cherish that flame, nurture it, hold it as a torch to light their way. but once that flame goes out, it s gone forever.",Sputnik Sweetheart,48,"time, flame, light","loss, impermanence, reflection","['time', 'flame', 'light']","['loss', 'impermanence', 'reflection']",49,244,0.16333333333333333,0.122,1,0,0,Sputnik Sweetheart
"a gentleman is someone who does not what he wants to do, but what he should do.",Norwegian Wood,17,"Duty, Societal Expectations","Conformity, Obligation","['duty', 'societal expectations']","['conformity', 'obligation']",17,79,0.056666666666666664,0.0395,1,0,0,Norwegian Wood
deep rivers run quiet.,Hard-Boiled Wonderland and the End of the World,4,"silence, depth, hidden","contemplation, introspection, revelation","['silence', 'depth', 'hidden']","['contemplation', 'introspection', 'revelation']",4,22,0.013333333333333334,0.011,1,0,0,Hard-Boiled Wonderland and the End of the World
"even so, there were times i saw freshness and beauty. i could smell the air, and i really loved rock n roll. tears were warm, and girls were beautiful, like dreams. i liked movie theaters, the darkness and intimacy, and i liked the deep, sad summer nights.",Dance Dance Dance,47,"beauty, dreams, sadness, nostalgia","warmth, intimacy, melancholy, longing","['beauty', 'dreams', 'sadness', 'nostalgia']","['warmth', 'intimacy', 'melancholy', 'longing']",47,256,0.15666666666666668,0.128,1,0,0,Dance Dance Dance
